id,time,orig_time,first_time,mat_time,balance_time,LTV_time,interest_rate_time,hpi_time,gdp_time,uer_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,balance_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,hpi_orig_time,default_time,payoff_time,status_time
176,26,23,26,144,175501.19,78.64276296,6.3,225.1,2.1513648831,4.7,0,0,1,0,176000.0,539,80.0,6.3,221.91,0,0,0
176,27,23,26,144,174823.8,79.293847945,6.3,222.39,2.3617217155,4.4,0,0,1,0,176000.0,539,80.0,6.3,221.91,0,0,0
176,28,23,26,144,174823.8,80.275680997,6.3,219.67,1.2291722496,4.6,0,0,1,0,176000.0,539,80.0,6.3,221.91,1,0,1
194,26,24,26,144,56750.37,79.450731052,10.08,225.1,2.1513648831,4.7,0,0,1,0,56800.0,515,80.0,10.08,223.75,0,0,0
194,27,24,26,144,56674.35,80.311176549,10.08,222.39,2.3617217155,4.4,0,0,1,0,56800.0,515,80.0,10.08,223.75,0,0,0
194,28,24,26,144,56596.4,81.193778504,10.08,219.67,1.2291722496,4.6,0,0,1,0,56800.0,515,80.0,10.08,223.75,0,0,0
194,29,24,26,144,56516.47,81.937011162,10.08,217.37,1.6929686703,4.5,0,0,1,0,56800.0,515,80.0,10.08,223.75,0,0,0
194,30,24,26,144,56434.51,83.602778981,10.08,212.73,2.2742178006,4.7,0,0,1,0,56800.0,515,80.0,10.08,223.75,0,0,0
194,31,24,26,144,56350.47,88.49521471,10.08,200.67,1.8506891663,4.7,0,0,1,0,56800.0,515,80.0,10.08,223.75,0,0,0
194,32,24,26,144,56264.28,95.26742288,10.08,186.12,1.1041627602,5.0,0,0,1,0,56800.0,515,80.0,10.08,223.75,0,0,0
194,33,24,26,144,56175.91,98.068489641,10.08,180.52,0.8368586627,5.0,0,0,1,0,56800.0,515,80.0,10.08,223.75,0,0,0
194,34,24,26,144,56085.32,101.96005273,10.08,173.35,-0.314447747,5.8,0,0,1,0,56800.0,515,80.0,10.08,223.75,0,0,0
194,35,24,26,144,55992.44,108.8623904,10.08,162.09,-2.805844087,6.5,0,0,1,0,56800.0,515,80.0,10.08,223.75,0,0,0
194,36,24,26,144,55897.2,116.28921868,10.08,151.48,-3.516567987,7.8,0,0,1,0,56800.0,515,80.0,10.08,223.75,0,0,0
194,37,24,26,144,55799.54,114.67045445,10.08,153.35,-4.146710947,9.0,0,0,1,0,56800.0,515,80.0,10.08,223.75,0,0,0
194,38,24,26,144,55766.44,110.69019984,10.08,158.77,-3.339549297,9.5,0,0,1,0,56800.0,515,80.0,10.08,223.75,0,0,0
195,26,24,26,144,119900.21,79.454085555,10.31,225.1,2.1513648831,4.7,0,0,0,0,120000.0,607,80.0,10.31,223.75,0,1,2
401,28,24,28,144,278931.24,91.061512067,7.95,219.67,1.2291722496,4.6,0,1,0,0,280488.0,562,89.9,7.95,223.75,0,0,0
401,29,24,28,144,278325.92,91.825330023,7.95,217.37,1.6929686703,4.5,0,1,0,0,280488.0,562,89.9,7.95,223.75,0,0,0
401,30,24,28,144,277708.49,93.620049608,7.95,212.73,2.2742178006,4.7,0,1,0,0,280488.0,562,89.9,7.95,223.75,0,0,0
401,31,24,28,144,277078.72,99.021425021,7.95,200.67,1.8506891663,4.7,0,1,0,0,280488.0,562,89.9,7.95,223.75,0,0,0
401,32,24,28,144,276651.89,106.59799782,7.95,186.12,1.1041627602,5.0,0,1,0,0,280488.0,562,89.9,7.95,223.75,0,0,0
401,33,24,28,144,276219.38,109.73300472,7.95,180.52,0.8368586627,5.0,0,1,0,0,280488.0,562,89.9,7.95,223.75,0,0,0
401,34,24,28,144,276000.97,114.18136022,9.875,173.35,-0.314447747,5.8,0,1,0,0,280488.0,562,89.9,7.95,223.75,1,0,1
1030,25,25,25,144,77892.3,99.861923077,7.875,226.29,2.8991367167,4.7,0,0,1,0,78000.0,720,100.0,0.0,226.29,0,1,2
1031,25,25,25,144,144799.77,99.861910345,7.875,226.29,2.8991367167,4.7,0,0,1,0,145000.0,691,100.0,0.0,226.29,0,1,2
1034,25,25,25,144,93882.73,99.875244681,8.375,226.29,2.8991367167,4.7,0,0,1,0,94000.0,672,100.0,0.0,226.29,0,1,2
1035,25,25,25,144,42432.77,99.841811765,7.999,226.29,2.8991367167,4.7,0,0,1,0,42500.0,677,100.0,0.0,226.29,0,1,2
1036,25,25,25,144,223571.27,99.808602679,8.5,226.29,2.8991367167,4.7,0,0,1,0,224000.0,683,100.0,0.0,226.29,0,1,2
1037,25,25,25,144,479862.5,99.971354167,8.0,226.29,2.8991367167,4.7,0,0,1,0,480000.0,717,100.0,0.0,226.29,0,1,2
1038,25,25,25,144,94875.3,97.771493368,8.125,226.29,2.8991367167,4.7,0,0,1,0,95000.0,715,97.9,0.0,226.29,0,1,2
3501,26,23,26,144,111589.5,78.577222647,7.625,225.1,2.1513648831,4.7,0,1,0,0,112000.0,581,80.0,7.625,221.91,0,0,0
3501,27,23,26,144,111336.89,79.354702678,7.625,222.39,2.3617217155,4.4,0,1,0,0,112000.0,581,80.0,7.625,221.91,0,1,2
3502,26,23,26,144,425119.23,62.913273558,6.69,225.1,2.1513648831,4.7,0,1,0,0,427000.0,606,64.1,6.69,221.91,0,0,0
3502,27,23,26,144,423965.41,63.507087849,6.69,222.39,2.3617217155,4.4,0,1,0,0,427000.0,606,64.1,6.69,221.91,0,0,0
3502,28,23,26,144,422792.19,64.115529628,6.69,219.67,1.2291722496,4.6,0,1,0,0,427000.0,606,64.1,6.69,221.91,0,0,0
3502,29,23,26,144,421999.1,64.672395431,6.69,217.37,1.6929686703,4.5,0,1,0,0,427000.0,606,64.1,6.69,221.91,0,0,0
3502,30,23,26,144,420792.8,65.894108703,6.69,212.73,2.2742178006,4.7,0,1,0,0,427000.0,606,64.1,6.69,221.91,0,0,0
3502,31,23,26,144,419566.21,69.650635291,6.69,200.67,1.8506891663,4.7,0,1,0,0,427000.0,606,64.1,6.69,221.91,0,0,0
3502,32,23,26,144,418319.0,74.872369007,6.69,186.12,1.1041627602,5.0,0,1,0,0,427000.0,606,64.1,6.69,221.91,0,0,0
3502,33,23,26,144,417185.59,76.985866476,8.75,180.52,0.8368586627,5.0,0,1,0,0,427000.0,606,64.1,6.69,221.91,0,1,2
3503,26,23,26,144,210232.47,73.755574695,9.3,225.1,2.1513648831,4.7,0,0,1,0,210750.0,468,75.0,9.3,221.91,0,0,0
3503,27,23,26,144,210232.47,74.654345357,9.3,222.39,2.3617217155,4.4,0,0,1,0,210750.0,468,75.0,9.3,221.91,0,0,0
3503,28,23,26,144,209893.47,75.45686036,9.3,219.67,1.2291722496,4.6,0,0,1,0,210750.0,468,75.0,9.3,221.91,1,0,1
3506,26,23,26,144,143768.96,78.794463463,7.25,225.1,2.1513648831,4.7,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,0,0
3506,27,23,26,144,143701.63,79.717286255,7.25,222.39,2.3617217155,4.4,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,0,0
3506,28,23,26,144,143656.07,80.678775428,7.25,219.67,1.2291722496,4.6,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,0,0
3506,29,23,26,144,143482.18,81.433748732,7.25,217.37,1.6929686703,4.5,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,0,0
3506,30,23,26,144,143474.4,83.205444229,7.25,212.73,2.2742178006,4.7,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,0,0
3506,31,23,26,144,143468.43,88.20231045,7.25,200.67,1.8506891663,4.7,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,0,0
3506,32,23,26,144,143462.36,95.09353529,7.25,186.12,1.1041627602,5.0,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,1,2
3507,26,23,26,144,625347.49,78.789613451,8.6,225.1,2.1513648831,4.7,0,0,1,0,625956.0,619,80.0,8.6,221.91,0,0,0
3507,27,23,26,144,624879.57,79.690054689,8.6,222.39,2.3617217155,4.4,0,0,1,0,625956.0,619,80.0,8.6,221.91,0,0,0
3507,28,23,26,144,624239.87,80.59420343,8.6,219.67,1.2291722496,4.6,0,0,1,0,625956.0,619,80.0,8.6,221.91,0,0,0
